pos1 40.8976, pos2 -146.655, pos3 37.1572
0 , 0.593863 , -0.0475091 , 0.118773
0 , 40.8976 , -146.655 , 37.1572
0.01 , 2.0904 , -1.52029 , 0.451336
0.01 , 40.8976 , -146.655 , 37.1572
0.02 , 3.30188 , -2.68426 , 2.47047
0.02 , 40.8976 , -146.655 , 37.1572
0.03 , 4.91719 , -4.34708 , 4.79842
0.03 , 40.8976 , -146.655 , 37.1572
0.04 , 6.12867 , -5.53481 , 4.91719
0.04 , 40.8976 , -146.655 , 37.1572
0.05 , 7.34015 , -6.84131 , 6.08116
0.05 , 40.8976 , -146.655 , 37.1572
0.06 , 8.43286 , -8.00528 , 8.57539
0.06 , 40.8976 , -146.655 , 37.1572
0.07 , 9.73936 , -9.19301 , 9.47806
0.07 , 40.8976 , -146.655 , 37.1572
0.08 , 10.9746 , -10.4282 , 9.71561
0.08 , 40.8976 , -146.655 , 37.1572
0.09 , 12.1148 , -11.6635 , 11.1171
0.09 , 40.8976 , -146.655 , 37.1572
0.1 , 13.3025 , -13.0887 , 13.2788
0.1 , 40.8976 , -146.655 , 37.1572
0.11 , 14.609 , -14.3477 , 14.4665
0.11 , 40.8976 , -146.655 , 37.1572
0.12 , 15.7493 , -15.3454 , 15.0841
0.12 , 40.8976 , -146.655 , 37.1572
0.13 , 17.1033 , -16.7707 , 16.3669
0.13 , 40.8976 , -146.655 , 37.1572
0.14 , 18.3385 , -17.8634 , 17.5784
0.14 , 40.8976 , -146.655 , 37.1572
0.15 , 19.5025 , -19.3837 , 19.0749
0.15 , 40.8976 , -146.655 , 37.1572
0.16 , 20.714 , -20.5477 , 20.9277
0.16 , 40.8976 , -146.655 , 37.1572
0.17 , 21.9017 , -21.5454 , 21.9254
0.17 , 40.8976 , -146.655 , 37.1572
0.18 , 23.2082 , -22.9231 , 22.4955
0.18 , 40.8976 , -146.655 , 37.1572
0.19 , 24.4434 , -24.0633 , 23.5883
0.19 , 40.8976 , -146.655 , 37.1572
0.2 , 25.6074 , -25.4174 , 24.8948
0.2 , 40.8976 , -146.655 , 37.1572
0.21 , 26.7239 , -26.4863 , 26.5576
0.21 , 40.8976 , -146.655 , 37.1572
0.22 , 27.9828 , -27.7453 , 28.1254
0.22 , 40.8976 , -146.655 , 37.1572
0.23 , 29.3369 , -29.0756 , 29.028
0.23 , 40.8976 , -146.655 , 37.1572
0.24 , 30.5958 , -30.287 , 29.7882
0.24 , 40.8976 , -146.655 , 37.1572
0.25 , 31.6648 , -31.5223 , 30.7859
0.25 , 40.8976 , -146.655 , 37.1572
0.26 , 32.9238 , -32.805 , 31.9023
0.26 , 40.8976 , -146.655 , 37.1572
0.27 , 34.159 , -33.9452 , 33.0663
0.27 , 40.8976 , -146.655 , 37.1572
0.28 , 35.323 , -34.8954 , 34.6341
0.28 , 40.8976 , -146.655 , 37.1572
0.29 , 36.5107 , -36.4395 , 36.0356
0.29 , 40.8976 , -146.655 , 37.1572
0.3 , 37.7697 , -37.5084 , 37.0096
0.3 , 40.8976 , -146.655 , 37.1572
0.31 , 38.9574 , -38.7912 , 37.4609
0.31 , 40.8976 , -146.655 , 37.1572
0.32 , 40.2402 , -40.0501 , 37.4609
0.32 , 40.8976 , -146.655 , 37.1572
0.33 , 40.359 , -41.0716 , 37.4609
0.33 , 40.8976 , -146.655 , 37.1572
0.34 , 40.2877 , -42.3781 , 37.4371
0.34 , 40.8976 , -146.655 , 37.1572
0.35 , 40.0026 , -43.5896 , 37.5084
0.35 , 40.8976 , -146.655 , 37.1572
0.36 , 39.9789 , -44.8961 , 37.4371
0.36 , 40.8976 , -146.655 , 37.1572
0.37 , 39.9076 , -46.0838 , 37.5559
0.37 , 40.8976 , -146.655 , 37.1572
0.38 , 39.8839 , -47.2715 , 37.5559
0.38 , 40.8976 , -146.655 , 37.1572
0.39 , 39.8839 , -48.6255 , 37.5322
0.39 , 40.8976 , -146.655 , 37.1572
0.4 , 39.8839 , -49.7895 , 37.5559
0.4 , 40.8976 , -146.655 , 37.1572
0.41 , 39.8839 , -50.8347 , 37.5322
0.41 , 40.8976 , -146.655 , 37.1572
0.42 , 40.0026 , -52.3788 , 37.5559
0.42 , 40.8976 , -146.655 , 37.1572
0.43 , 40.0739 , -53.3289 , 37.5322
0.43 , 40.8976 , -146.655 , 37.1572
0.44 , 40.0739 , -54.6829 , 37.5559
0.44 , 40.8976 , -146.655 , 37.1572
0.45 , 40.0739 , -55.7994 , 37.5084
0.45 , 40.8976 , -146.655 , 37.1572
0.46 , 40.0501 , -57.1297 , 37.5322
0.46 , 40.8976 , -146.655 , 37.1572
0.47 , 40.0264 , -58.3649 , 37.4847
0.47 , 40.8976 , -146.655 , 37.1572
0.48 , 39.9314 , -59.5051 , 37.3896
0.48 , 40.8976 , -146.655 , 37.1572
0.49 , 39.9314 , -60.7166 , 37.1758
0.49 , 40.8976 , -146.655 , 37.1572
0.5 , 39.9076 , -62.0468 , 37.1521
0.5 , 40.8976 , -146.655 , 37.1572
0.51 , 39.9076 , -63.2108 , 37.0808
0.51 , 40.8976 , -146.655 , 37.1572
0.52 , 39.9076 , -64.4461 , 37.0808
0.52 , 40.8976 , -146.655 , 37.1572
0.53 , 40.0026 , -65.61 , 37.1521
0.53 , 40.8976 , -146.655 , 37.1572
0.54 , 40.0501 , -66.7265 , 37.0571
0.54 , 40.8976 , -146.655 , 37.1572
0.55 , 40.0264 , -67.9855 , 37.0571
0.55 , 40.8976 , -146.655 , 37.1572
0.56 , 40.0501 , -69.197 , 37.0333
0.56 , 40.8976 , -146.655 , 37.1572
0.57 , 40.0501 , -70.5035 , 37.0333
0.57 , 40.8976 , -146.655 , 37.1572
0.58 , 40.0264 , -71.6437 , 36.9858
0.58 , 40.8976 , -146.655 , 37.1572
0.59 , 39.9789 , -72.8314 , 37.0096
0.59 , 40.8976 , -146.655 , 37.1572
0.6 , 39.9076 , -74.0666 , 36.9858
0.6 , 40.8976 , -146.655 , 37.1572
0.61 , 39.9076 , -75.3019 , 36.8908
0.61 , 40.8976 , -146.655 , 37.1572
0.62 , 39.8839 , -76.5609 , 36.9858
0.62 , 40.8976 , -146.655 , 37.1572
0.63 , 39.8839 , -77.7724 , 36.9621
0.63 , 40.8976 , -146.655 , 37.1572
0.64 , 39.9076 , -78.9363 , 36.9858
0.64 , 40.8976 , -146.655 , 37.1572
0.65 , 39.9551 , -80.1716 , 36.9621
0.65 , 40.8976 , -146.655 , 37.1572
0.66 , 40.0026 , -81.4306 , 36.9383
0.66 , 40.8976 , -146.655 , 37.1572
0.67 , 40.0739 , -82.4995 , 36.9383
0.67 , 40.8976 , -146.655 , 37.1572
0.68 , 40.0501 , -83.7823 , 36.9621
0.68 , 40.8976 , -146.655 , 37.1572
0.69 , 40.0739 , -84.875 , 36.9383
0.69 , 40.8976 , -146.655 , 37.1572
0.7 , 40.0264 , -86.1102 , 36.9621
0.7 , 40.8976 , -146.655 , 37.1572
0.71 , 39.9551 , -87.2504 , 36.9383
0.71 , 40.8976 , -146.655 , 37.1572
0.72 , 39.9314 , -88.4856 , 36.9383
0.72 , 40.8976 , -146.655 , 37.1572
0.73 , 39.9076 , -89.9822 , 36.9383
0.73 , 40.8976 , -146.655 , 37.1572
0.74 , 39.9314 , -91.0749 , 36.9383
0.74 , 40.8976 , -146.655 , 37.1572
0.75 , 39.9314 , -92.3101 , 36.9858
0.75 , 40.8976 , -146.655 , 37.1572
0.76 , 39.9551 , -93.6166 , 36.9621
0.76 , 40.8976 , -146.655 , 37.1572
0.77 , 40.0501 , -94.8994 , 36.9383
0.77 , 40.8976 , -146.655 , 37.1572
0.78 , 40.0739 , -96.1346 , 36.9383
0.78 , 40.8976 , -146.655 , 37.1572
0.79 , 40.0739 , -97.3936 , 36.9621
0.79 , 40.8976 , -146.655 , 37.1572
0.8 , 40.0977 , -98.7001 , 36.9621
0.8 , 40.8976 , -146.655 , 37.1572
0.81 , 40.0026 , -99.8641 , 36.9383
0.81 , 40.8976 , -146.655 , 37.1572
0.82 , 39.9314 , -101.171 , 36.9621
0.82 , 40.8976 , -146.655 , 37.1572
0.83 , 39.9076 , -102.335 , 36.9383
0.83 , 40.8976 , -146.655 , 37.1572
0.84 , 39.9076 , -103.546 , 36.9621
0.84 , 40.8976 , -146.655 , 37.1572
0.85 , 39.9076 , -104.639 , 36.9858
0.85 , 40.8976 , -146.655 , 37.1572
0.86 , 39.9314 , -105.898 , 36.9383
0.86 , 40.8976 , -146.655 , 37.1572
0.87 , 39.9789 , -107.085 , 36.9621
0.87 , 40.8976 , -146.655 , 37.1572
0.88 , 40.0264 , -108.511 , 36.9621
0.88 , 40.8976 , -146.655 , 37.1572
0.89 , 40.0264 , -109.651 , 37.0096
0.89 , 40.8976 , -146.655 , 37.1572
0.9 , 40.0264 , -110.72 , 37.0096
0.9 , 40.8976 , -146.655 , 37.1572
0.91 , 40.0264 , -112.169 , 37.0333
0.91 , 40.8976 , -146.655 , 37.1572
0.92 , 40.0264 , -113.357 , 37.0096
0.92 , 40.8976 , -146.655 , 37.1572
0.93 , 39.9789 , -114.616 , 37.0808
0.93 , 40.8976 , -146.655 , 37.1572
0.94 , 39.9314 , -115.851 , 37.0096
0.94 , 40.8976 , -146.655 , 37.1572
0.95 , 39.9076 , -117.062 , 37.0808
0.95 , 40.8976 , -146.655 , 37.1572
0.96 , 39.9076 , -118.488 , 37.0571
0.96 , 40.8976 , -146.655 , 37.1572
0.97 , 39.9076 , -119.818 , 37.0808
0.97 , 40.8976 , -146.655 , 37.1572
0.98 , 39.9314 , -121.148 , 37.0808
0.98 , 40.8976 , -146.655 , 37.1572
0.99 , 40.0026 , -122.336 , 37.0808
0.99 , 40.8976 , -146.655 , 37.1572
1 , 40.0739 , -123.405 , 37.0808
1 , 40.8976 , -146.655 , 37.1572
1.01 , 40.0739 , -124.616 , 37.0808
1.01 , 40.8976 , -146.655 , 37.1572
1.02 , 40.0501 , -125.78 , 37.0571
1.02 , 40.8976 , -146.655 , 37.1572
1.03 , 40.0501 , -127.134 , 37.0808
1.03 , 40.8976 , -146.655 , 37.1572
1.04 , 40.0026 , -128.417 , 37.0808
1.04 , 40.8976 , -146.655 , 37.1572
1.05 , 39.9314 , -129.486 , 37.0808
1.05 , 40.8976 , -146.655 , 37.1572
1.06 , 39.8839 , -130.65 , 37.0571
1.06 , 40.8976 , -146.655 , 37.1572
1.07 , 39.8839 , -131.98 , 37.1046
1.07 , 40.8976 , -146.655 , 37.1572
1.08 , 39.9076 , -133.239 , 37.0571
1.08 , 40.8976 , -146.655 , 37.1572
1.09 , 39.9076 , -134.427 , 37.0808
1.09 , 40.8976 , -146.655 , 37.1572
1.1 , 39.9314 , -135.591 , 37.0333
1.1 , 40.8976 , -146.655 , 37.1572
1.11 , 40.0026 , -136.707 , 37.0571
1.11 , 40.8976 , -146.655 , 37.1572
1.12 , 40.0501 , -137.99 , 37.0096
1.12 , 40.8976 , -146.655 , 37.1572
1.13 , 40.0739 , -139.368 , 37.0333
1.13 , 40.8976 , -146.655 , 37.1572
1.14 , 40.0739 , -140.484 , 36.9621
1.14 , 40.8976 , -146.655 , 37.1572
1.15 , 40.0264 , -141.672 , 36.9858
1.15 , 40.8976 , -146.655 , 37.1572
1.16 , 39.9789 , -142.789 , 36.9621
1.16 , 40.8976 , -146.655 , 37.1572
1.17 , 39.9314 , -144.119 , 36.9858
1.17 , 40.8976 , -146.655 , 37.1572
1.18 , 39.9314 , -145.33 , 36.9621
1.18 , 40.8976 , -146.655 , 37.1572
1.19 , 39.9076 , -146.423 , 36.9383
