l1 0.093501, l2 0.119783, l3 0.0940253
0 , -61.5955 , -65.6338 , 93.6879
0 , 37.2365 , -113.348 , 34.2325
0.01 , -61.6193 , -65.6338 , 93.6166
0.01 , 37.2365 , -113.348 , 34.2325
0.02 , -61.6193 , -65.5388 , 93.6404
0.02 , 37.2365 , -113.348 , 34.2325
0.03 , -61.6193 , -65.6338 , 93.5929
0.03 , 37.2365 , -113.348 , 34.2325
0.04 , -61.6193 , -65.6338 , 93.6166
0.04 , 37.2365 , -113.348 , 34.2325
0.05 , -61.5955 , -65.6338 , 93.5691
0.05 , 37.2365 , -113.348 , 34.2325
0.06 , -61.5955 , -65.6338 , 93.5691
0.06 , 37.2365 , -113.348 , 34.2325
0.07 , -61.643 , -65.5625 , 93.4979
0.07 , 37.2365 , -113.348 , 34.2325
0.08 , -61.6193 , -65.6338 , 93.4741
0.08 , 37.2365 , -113.348 , 34.2325
0.09 , -61.6193 , -65.61 , 93.2841
0.09 , 37.2365 , -113.348 , 34.2325
0.1 , -61.6193 , -65.5863 , 92.9515
0.1 , 37.2365 , -113.348 , 34.2325
0.11 , -61.548 , -65.6813 , 92.2626
0.11 , 37.2365 , -113.348 , 34.2325
0.12 , -61.2629 , -65.5625 , 90.6473
0.12 , 37.2365 , -113.348 , 34.2325
0.13 , -60.5028 , -65.6575 , 89.0082
0.13 , 37.2365 , -113.348 , 34.2325
0.14 , -59.125 , -65.6575 , 87.8918
0.14 , 37.2365 , -113.348 , 34.2325
0.15 , -56.7258 , -65.6575 , 87.583
0.15 , 37.2365 , -113.348 , 34.2325
0.16 , -53.9228 , -65.6575 , 87.5355
0.16 , 37.2365 , -113.348 , 34.2325
0.17 , -50.7634 , -65.6813 , 87.5355
0.17 , 37.2365 , -113.348 , 34.2325
0.18 , -47.1528 , -65.705 , 87.5355
0.18 , 37.2365 , -113.348 , 34.2325
0.19 , -43.257 , -65.6575 , 87.4404
0.19 , 37.2365 , -113.348 , 34.2325
0.2 , -39.1712 , -65.6813 , 87.2979
0.2 , 37.2365 , -113.348 , 34.2325
0.21 , -35.6081 , -65.705 , 86.7041
0.21 , 37.2365 , -113.348 , 34.2325
0.22 , -33.9927 , -65.6575 , 84.875
0.22 , 37.2365 , -113.348 , 34.2325
0.23 , -33.7077 , -65.705 , 81.2168
0.23 , 37.2365 , -113.348 , 34.2325
0.24 , -32.7575 , -65.6813 , 77.8436
0.24 , 37.2365 , -113.348 , 34.2325
0.25 , -30.6196 , -65.5863 , 75.5632
0.25 , 37.2365 , -113.348 , 34.2325
0.26 , -28.8143 , -65.6813 , 73.2352
0.26 , 37.2365 , -113.348 , 34.2325
0.27 , -27.2465 , -65.6575 , 70.8123
0.27 , 37.2365 , -113.348 , 34.2325
0.28 , -25.3461 , -65.8001 , 68.4606
0.28 , 37.2365 , -113.348 , 34.2325
0.29 , -24.0158 , -65.7526 , 65.0637
0.29 , 37.2365 , -113.348 , 34.2325
0.3 , -23.3982 , -65.8001 , 61.5718
0.3 , 37.2365 , -113.348 , 34.2325
0.31 , -22.8519 , -66.0139 , 58.0798
0.31 , 37.2365 , -113.348 , 34.2325
0.32 , -21.7829 , -67.5579 , 54.3029
0.32 , 37.2365 , -113.348 , 34.2325
0.33 , -19.8825 , -71.7625 , 51.1435
0.33 , 37.2365 , -113.348 , 34.2325
0.34 , -18.101 , -79.7677 , 48.7206
0.34 , 37.2365 , -113.348 , 34.2325
0.35 , -16.8182 , -89.4358 , 46.7014
0.35 , 37.2365 , -113.348 , 34.2325
0.36 , -16.2243 , -96.9185 , 44.9198
0.36 , 37.2365 , -113.348 , 34.2325
0.37 , -15.7255 , -101.693 , 44.2309
0.37 , 37.2365 , -113.348 , 34.2325
0.38 , -14.5378 , -103.451 , 43.3045
0.38 , 37.2365 , -113.348 , 34.2325
0.39 , -12.8987 , -103.499 , 40.9528
0.39 , 37.2365 , -113.348 , 34.2325
0.4 , -11.2834 , -103.641 , 37.9835
0.4 , 37.2365 , -113.348 , 34.2325
0.41 , -10.3095 , -104.259 , 37.5559
0.41 , 37.2365 , -113.348 , 34.2325
0.42 , -9.90564 , -105.375 , 37.4847
0.42 , 37.2365 , -113.348 , 34.2325
0.43 , -9.6681 , -107.275 , 37.4609
0.43 , 37.2365 , -113.348 , 34.2325
0.44 , -9.24051 , -108.226 , 37.2471
0.44 , 37.2365 , -113.348 , 34.2325
0.45 , -7.93402 , -108.226 , 36.677
0.45 , 37.2365 , -113.348 , 34.2325
0.46 , -5.79611 , -108.249 , 35.5843
0.46 , 37.2365 , -113.348 , 34.2325
0.47 , -3.27813 , -108.297 , 34.3016
0.47 , 37.2365 , -113.348 , 34.2325
0.48 , -1.28274 , -109.081 , 34.0165
0.48 , 37.2365 , -113.348 , 34.2325
0.49 , -0.2613 , -110.221 , 34.0165
0.49 , 37.2365 , -113.348 , 34.2325
0.5 , 0.902672 , -110.506 , 33.9927
0.5 , 37.2365 , -113.348 , 34.2325
0.51 , 2.11415 , -110.506 , 33.8502
0.51 , 37.2365 , -113.348 , 34.2325
0.52 , 3.72946 , -110.577 , 33.5652
0.52 , 37.2365 , -113.348 , 34.2325
0.53 , 5.7486 , -110.672 , 33.5652
0.53 , 37.2365 , -113.348 , 34.2325
0.54 , 8.64665 , -111.646 , 33.5889
0.54 , 37.2365 , -113.348 , 34.2325
0.55 , 12.4236 , -113.024 , 33.6127
0.55 , 37.2365 , -113.348 , 34.2325
0.56 , 16.0343 , -113.072 , 33.5652
0.56 , 37.2365 , -113.348 , 34.2325
0.57 , 19.55 , -113.072 , 33.5652
0.57 , 37.2365 , -113.348 , 34.2325
0.58 , 23.0419 , -113.167 , 33.5414
0.58 , 37.2365 , -113.348 , 34.2325
0.59 , 25.2986 , -113.19 , 33.5652
0.59 , 37.2365 , -113.348 , 34.2325
0.6 , 25.3223 , -113.238 , 33.5414
0.6 , 37.2365 , -113.348 , 34.2325
0.61 , 25.5124 , -113.238 , 33.5652
0.61 , 37.2365 , -113.348 , 34.2325
0.62 , 26.225 , -113.285 , 33.5652
0.62 , 37.2365 , -113.348 , 34.2325
0.63 , 27.6978 , -113.238 , 33.5652
0.63 , 37.2365 , -113.348 , 34.2325
0.64 , 29.9307 , -113.262 , 33.5889
0.64 , 37.2365 , -113.348 , 34.2325
0.65 , 31.9023 , -113.309 , 33.5889
0.65 , 37.2365 , -113.348 , 34.2325
0.66 , 32.0211 , -113.499 , 33.5414
0.66 , 37.2365 , -113.348 , 34.2325
0.67 , 31.9974 , -113.642 , 33.5889
0.67 , 37.2365 , -113.348 , 34.2325
0.68 , 32.615 , -113.642 , 33.5652
0.68 , 37.2365 , -113.348 , 34.2325
0.69 , 33.6602 , -113.665 , 33.5652
0.69 , 37.2365 , -113.348 , 34.2325
0.7 , 34.064 , -113.689 , 33.6127
0.7 , 37.2365 , -113.348 , 34.2325
0.71 , 34.064 , -113.665 , 33.6127
0.71 , 37.2365 , -113.348 , 34.2325
0.72 , 34.159 , -113.665 , 33.5889
0.72 , 37.2365 , -113.348 , 34.2325
0.73 , 34.3491 , -113.665 , 33.5652
0.73 , 37.2365 , -113.348 , 34.2325
0.74 , 34.9192 , -113.689 , 33.6364
0.74 , 37.2365 , -113.348 , 34.2325
0.75 , 35.9406 , -113.665 , 33.6127
