l1 0.093501, l2 0.119783, l3 0.0940253
0 , 0.118773 , 0 , -0.0712636
0 , 37.2365 , -113.348 , 34.2325
0.01 , 0.142527 , 0 , -0.0950181
0.01 , 37.2365 , -113.348 , 34.2325
0.02 , 0.142527 , 0 , -0.118773
0.02 , 37.2365 , -113.348 , 34.2325
0.03 , 0.118773 , 0 , -0.118773
0.03 , 37.2365 , -113.348 , 34.2325
0.04 , 0.142527 , 0 , -0.0950181
0.04 , 37.2365 , -113.348 , 34.2325
0.05 , 0.142527 , 0 , -0.0950181
0.05 , 37.2365 , -113.348 , 34.2325
0.06 , 0.118773 , 0.0237545 , -0.0950181
0.06 , 37.2365 , -113.348 , 34.2325
0.07 , 0.118773 , 0 , -0.0950181
0.07 , 37.2365 , -113.348 , 34.2325
0.08 , 0.142527 , 0 , -0.0950181
0.08 , 37.2365 , -113.348 , 34.2325
0.09 , 0.118773 , 0 , -0.0712636
0.09 , 37.2365 , -113.348 , 34.2325
0.1 , 0.118773 , -0.0712636 , -0.0950181
0.1 , 37.2365 , -113.348 , 34.2325
0.11 , 0.142527 , -0.0475091 , -0.118773
0.11 , 37.2365 , -113.348 , 34.2325
0.12 , 0.118773 , -0.0712636 , -0.0712636
0.12 , 37.2365 , -113.348 , 34.2325
0.13 , 0.118773 , -0.0712636 , 0
0.13 , 37.2365 , -113.348 , 34.2325
0.14 , 0.142527 , -0.0475091 , 0.0712636
0.14 , 37.2365 , -113.348 , 34.2325
0.15 , 0.142527 , -0.0950181 , 0.190036
0.15 , 37.2365 , -113.348 , 34.2325
0.16 , 0.118773 , -0.118773 , 0.118773
0.16 , 37.2365 , -113.348 , 34.2325
0.17 , 0.142527 , -0.0950181 , 0.118773
0.17 , 37.2365 , -113.348 , 34.2325
0.18 , 0.142527 , -0.142527 , 0.118773
0.18 , 37.2365 , -113.348 , 34.2325
0.19 , 0.118773 , -0.166282 , 0.237545
0.19 , 37.2365 , -113.348 , 34.2325
0.2 , 0.142527 , -0.190036 , 0.570109
0.2 , 37.2365 , -113.348 , 34.2325
0.21 , 0.142527 , -0.166282 , 0.688882
0.21 , 37.2365 , -113.348 , 34.2325
0.22 , 0.118773 , -0.166282 , 0.7839
0.22 , 37.2365 , -113.348 , 34.2325
0.23 , 0.118773 , -0.166282 , 1.0452
0.23 , 37.2365 , -113.348 , 34.2325
0.24 , 0.142527 , -0.166282 , 1.3065
0.24 , 37.2365 , -113.348 , 34.2325
0.25 , 0.142527 , -0.190036 , 1.44903
0.25 , 37.2365 , -113.348 , 34.2325
0.26 , 0.118773 , -0.190036 , 1.44903
0.26 , 37.2365 , -113.348 , 34.2325
0.27 , 0.142527 , -0.2613 , 1.47278
0.27 , 37.2365 , -113.348 , 34.2325
0.28 , 0.166282 , -0.308809 , 1.52029
0.28 , 37.2365 , -113.348 , 34.2325
0.29 , 0.142527 , -0.356318 , 1.78159
0.29 , 37.2365 , -113.348 , 34.2325
0.3 , 0.0950181 , -0.570109 , 1.97163
0.3 , 37.2365 , -113.348 , 34.2325
0.31 , 0.142527 , -1.11646 , 1.99538
0.31 , 37.2365 , -113.348 , 34.2325
0.32 , 0.142527 , -2.0904 , 2.06664
0.32 , 37.2365 , -113.348 , 34.2325
0.33 , 0.118773 , -2.96932 , 2.20917
0.33 , 37.2365 , -113.348 , 34.2325
0.34 , 0.118773 , -3.75322 , 2.20917
0.34 , 37.2365 , -113.348 , 34.2325
0.35 , 0.142527 , -4.77466 , 2.18542
0.35 , 37.2365 , -113.348 , 34.2325
0.36 , 0.118773 , -5.60607 , 2.20917
0.36 , 37.2365 , -113.348 , 34.2325
0.37 , 0.118773 , -6.12867 , 2.42296
0.37 , 37.2365 , -113.348 , 34.2325
0.38 , 0.142527 , -6.17618 , 2.51798
0.38 , 37.2365 , -113.348 , 34.2325
0.39 , 0.118773 , -6.17618 , 2.54174
0.39 , 37.2365 , -113.348 , 34.2325
0.4 , 0.118773 , -6.17618 , 2.56549
0.4 , 37.2365 , -113.348 , 34.2325
0.41 , 0.142527 , -6.17618 , 2.613
0.41 , 37.2365 , -113.348 , 34.2325
0.42 , 0.142527 , -6.17618 , 2.63675
0.42 , 37.2365 , -113.348 , 34.2325
0.43 , 0.118773 , -6.17618 , 2.613
0.43 , 37.2365 , -113.348 , 34.2325
0.44 , 0.118773 , -6.17618 , 2.68426
0.44 , 37.2365 , -113.348 , 34.2325
0.45 , 0.142527 , -6.17618 , 2.68426
0.45 , 37.2365 , -113.348 , 34.2325
0.46 , 0.142527 , -6.19993 , 2.68426
0.46 , 37.2365 , -113.348 , 34.2325
0.47 , 0.118773 , -6.17618 , 2.68426
0.47 , 37.2365 , -113.348 , 34.2325
0.48 , 0.213791 , -6.17618 , 2.70802
0.48 , 37.2365 , -113.348 , 34.2325
0.49 , 0.166282 , -6.19993 , 2.75553
0.49 , 37.2365 , -113.348 , 34.2325
0.5 , 0.237545 , -6.17618 , 2.82679
0.5 , 37.2365 , -113.348 , 34.2325
0.51 , 0.308809 , -6.17618 , 2.89805
0.51 , 37.2365 , -113.348 , 34.2325
0.52 , 0.308809 , -6.17618 , 2.92181
0.52 , 37.2365 , -113.348 , 34.2325
0.53 , 0.308809 , -6.19993 , 3.01683
0.53 , 37.2365 , -113.348 , 34.2325
0.54 , 0.308809 , -6.19993 , 3.49192
0.54 , 37.2365 , -113.348 , 34.2325
0.55 , 0.308809 , -6.24744 , 3.80073
0.55 , 37.2365 , -113.348 , 34.2325
0.56 , 0.332564 , -6.19993 , 3.80073
0.56 , 37.2365 , -113.348 , 34.2325
0.57 , 0.308809 , -6.19993 , 3.82448
0.57 , 37.2365 , -113.348 , 34.2325
0.58 , 0.332564 , -6.19993 , 3.82448
