l1 0.093501, l2 0.119783, l3 0.0940253
0 , 17.9822 , 63.3296 , -9.09799
0 , 37.2365 , -113.348 , 34.2325
0.01 , 18.0059 , 62.4507 , -9.09799
0.01 , 37.2365 , -113.348 , 34.2325
0.02 , 17.9822 , 59.6952 , -9.09799
0.02 , 37.2365 , -113.348 , 34.2325
0.03 , 17.9822 , 53.9703 , -9.09799
0.03 , 37.2365 , -113.348 , 34.2325
0.04 , 18.0059 , 45.8463 , -9.07423
0.04 , 37.2365 , -113.348 , 34.2325
0.05 , 17.9822 , 34.7766 , -9.09799
0.05 , 37.2365 , -113.348 , 34.2325
0.06 , 17.9822 , 17.6734 , -9.07423
0.06 , 37.2365 , -113.348 , 34.2325
0.07 , 18.0059 , -8.07654 , -9.00297
0.07 , 37.2365 , -113.348 , 34.2325
0.08 , 18.0059 , -43.447 , -8.93171
0.08 , 37.2365 , -113.348 , 34.2325
0.09 , 18.0059 , -82.1194 , -8.74167
0.09 , 37.2365 , -113.348 , 34.2325
0.1 , 18.0297 , -114.924 , -7.95777
0.1 , 37.2365 , -113.348 , 34.2325
0.11 , 17.9822 , -142.171 , -6.03365
0.11 , 37.2365 , -113.348 , 34.2325
0.12 , 18.0059 , -159.369 , -4.22831
0.12 , 37.2365 , -113.348 , 34.2325
0.13 , 18.0059 , -162.529 , -2.75553
0.13 , 37.2365 , -113.348 , 34.2325
0.14 , 17.9822 , -161.958 , -0.0950181
0.14 , 37.2365 , -113.348 , 34.2325
0.15 , 18.0059 , -161.958 , 3.30188
0.15 , 37.2365 , -113.348 , 34.2325
0.16 , 18.0059 , -161.958 , 7.15012
0.16 , 37.2365 , -113.348 , 34.2325
0.17 , 18.0059 , -161.911 , 10.6658
0.17 , 37.2365 , -113.348 , 34.2325
0.18 , 18.0059 , -161.887 , 15.5355
0.18 , 37.2365 , -113.348 , 34.2325
0.19 , 18.0059 , -161.887 , 18.8373
0.19 , 37.2365 , -113.348 , 34.2325
0.2 , 17.9822 , -161.816 , 20.999
0.2 , 37.2365 , -113.348 , 34.2325
0.21 , 18.0059 , -161.721 , 21.1653
0.21 , 37.2365 , -113.348 , 34.2325
0.22 , 18.0059 , -161.388 , 21.189
0.22 , 37.2365 , -113.348 , 34.2325
0.23 , 17.9822 , -160.794 , 21.2128
0.23 , 37.2365 , -113.348 , 34.2325
0.24 , 17.9822 , -159.25 , 21.189
0.24 , 37.2365 , -113.348 , 34.2325
0.25 , 18.0059 , -156.139 , 21.2128
0.25 , 37.2365 , -113.348 , 34.2325
0.26 , 18.0059 , -150.224 , 21.2128
0.26 , 37.2365 , -113.348 , 34.2325
0.27 , 17.9822 , -140.081 , 21.2128
0.27 , 37.2365 , -113.348 , 34.2325
0.28 , 18.0059 , -124.711 , 21.2603
0.28 , 37.2365 , -113.348 , 34.2325
0.29 , 17.9822 , -114.117 , 21.3316
0.29 , 37.2365 , -113.348 , 34.2325
0.3 , 17.9822 , -109.556 , 21.4028
0.3 , 37.2365 , -113.348 , 34.2325
0.31 , 18.0297 , -109.413 , 21.4741
0.31 , 37.2365 , -113.348 , 34.2325
0.32 , 18.0297 , -109.39 , 21.7116
0.32 , 37.2365 , -113.348 , 34.2325
0.33 , 18.0297 , -109.413 , 21.7354
0.33 , 37.2365 , -113.348 , 34.2325
0.34 , 18.1247 , -109.39 , 21.7354
0.34 , 37.2365 , -113.348 , 34.2325
0.35 , 18.101 , -109.413 , 21.7592
0.35 , 37.2365 , -113.348 , 34.2325
0.36 , 18.1485 , -109.413 , 21.7592
0.36 , 37.2365 , -113.348 , 34.2325
0.37 , 18.101 , -109.413 , 21.7592
0.37 , 37.2365 , -113.348 , 34.2325
0.38 , 18.101 , -109.413 , 21.7829
0.38 , 37.2365 , -113.348 , 34.2325
0.39 , 18.2197 , -109.413 , 21.8542
0.39 , 37.2365 , -113.348 , 34.2325
0.4 , 18.8136 , -109.39 , 21.8542
0.4 , 37.2365 , -113.348 , 34.2325
0.41 , 19.74 , -109.413 , 21.8542
0.41 , 37.2365 , -113.348 , 34.2325
0.42 , 21.1415 , -109.39 , 21.8542
0.42 , 37.2365 , -113.348 , 34.2325
0.43 , 22.8044 , -109.413 , 21.9017
0.43 , 37.2365 , -113.348 , 34.2325
0.44 , 24.1821 , -109.413 , 21.9254
0.44 , 37.2365 , -113.348 , 34.2325
0.45 , 25.2511 , -109.39 , 21.9254
0.45 , 37.2365 , -113.348 , 34.2325
0.46 , 26.035 , -109.39 , 21.8304
0.46 , 37.2365 , -113.348 , 34.2325
0.47 , 26.4626 , -109.413 , 21.9492
0.47 , 37.2365 , -113.348 , 34.2325
0.48 , 26.8426 , -109.39 , 22.1155
0.48 , 37.2365 , -113.348 , 34.2325
0.49 , 27.3177 , -109.413 , 22.2342
0.49 , 37.2365 , -113.348 , 34.2325
0.5 , 28.2204 , -109.437 , 22.258
0.5 , 37.2365 , -113.348 , 34.2325
0.51 , 29.4556 , -109.39 , 22.2818
0.51 , 37.2365 , -113.348 , 34.2325
0.52 , 30.8809 , -109.413 , 22.258
0.52 , 37.2365 , -113.348 , 34.2325
0.53 , 32.4249 , -109.413 , 22.3293
0.53 , 37.2365 , -113.348 , 34.2325
0.54 , 32.9 , -109.413 , 22.353
0.54 , 37.2365 , -113.348 , 34.2325
0.55 , 32.8763 , -109.413 , 22.3768
0.55 , 37.2365 , -113.348 , 34.2325
0.56 , 32.9 , -109.413 , 22.4955
0.56 , 37.2365 , -113.348 , 34.2325
0.57 , 32.9475 , -109.39 , 22.9706
0.57 , 37.2365 , -113.348 , 34.2325
0.58 , 32.9 , -109.413 , 24.1821
0.58 , 37.2365 , -113.348 , 34.2325
0.59 , 32.9238 , -109.413 , 25.9637
0.59 , 37.2365 , -113.348 , 34.2325
0.6 , 32.9 , -109.39 , 28.5292
0.6 , 37.2365 , -113.348 , 34.2325
0.61 , 32.8763 , -109.413 , 29.2656
0.61 , 37.2365 , -113.348 , 34.2325
0.62 , 32.9 , -109.413 , 29.2656
0.62 , 37.2365 , -113.348 , 34.2325
0.63 , 32.8763 , -109.366 , 29.2656
0.63 , 37.2365 , -113.348 , 34.2325
0.64 , 32.9238 , -109.437 , 29.3131
