l1 0.093501, l2 0.119783, l3 0.0940253
0 , -60.099 , -62.8307 , 0
0 , 37.2365 , -113.348 , 34.2325
0.01 , -60.099 , -62.8307 , 0
0.01 , 37.2365 , -113.348 , 34.2325
0.02 , -60.0515 , -62.8307 , 0
0.02 , 37.2365 , -113.348 , 34.2325
0.03 , -60.0752 , -62.8307 , 0
0.03 , 37.2365 , -113.348 , 34.2325
0.04 , -60.0515 , -62.807 , 0
0.04 , 37.2365 , -113.348 , 34.2325
0.05 , -60.0752 , -62.807 , 0
0.05 , 37.2365 , -113.348 , 34.2325
0.06 , -60.0752 , -62.8545 , 0
0.06 , 37.2365 , -113.348 , 34.2325
0.07 , -60.099 , -62.8307 , 0
0.07 , 37.2365 , -113.348 , 34.2325
0.08 , -60.0515 , -62.8545 , 0
0.08 , 37.2365 , -113.348 , 34.2325
0.09 , -60.0515 , -62.8307 , 0
0.09 , 37.2365 , -113.348 , 34.2325
0.1 , -60.0752 , -62.8307 , 0
0.1 , 37.2365 , -113.348 , 34.2325
0.11 , -60.0752 , -62.8307 , 0
0.11 , 37.2365 , -113.348 , 34.2325
0.12 , -60.099 , -62.7832 , 0
0.12 , 37.2365 , -113.348 , 34.2325
0.13 , -60.099 , -62.8307 , 0
0.13 , 37.2365 , -113.348 , 34.2325
0.14 , -60.0752 , -62.807 , 0
0.14 , 37.2365 , -113.348 , 34.2325
0.15 , -60.0515 , -62.8545 , 0
0.15 , 37.2365 , -113.348 , 34.2325
0.16 , -59.8614 , -62.9258 , 0
0.16 , 37.2365 , -113.348 , 34.2325
0.17 , -58.9588 , -62.8307 , 0
0.17 , 37.2365 , -113.348 , 34.2325
0.18 , -57.3197 , -62.807 , 0
0.18 , 37.2365 , -113.348 , 34.2325
0.19 , -54.778 , -62.8307 , 0
0.19 , 37.2365 , -113.348 , 34.2325
0.2 , -52.2362 , -62.8307 , 0
0.2 , 37.2365 , -113.348 , 34.2325
0.21 , -50.906 , -62.807 , 0
0.21 , 37.2365 , -113.348 , 34.2325
0.22 , -49.1244 , -62.8307 , 0
0.22 , 37.2365 , -113.348 , 34.2325
0.23 , -46.9627 , -62.807 , 0
0.23 , 37.2365 , -113.348 , 34.2325
0.24 , -44.0884 , -62.8307 , 0
0.24 , 37.2365 , -113.348 , 34.2325
0.25 , -41.2616 , -62.8307 , 0
0.25 , 37.2365 , -113.348 , 34.2325
0.26 , -39.6226 , -62.8307 , 0
0.26 , 37.2365 , -113.348 , 34.2325
0.27 , -36.677 , -62.8545 , 0
0.27 , 37.2365 , -113.348 , 34.2325
0.28 , -34.3491 , -62.8307 , 0
0.28 , 37.2365 , -113.348 , 34.2325
0.29 , -33.7552 , -62.8307 , 0
0.29 , 37.2365 , -113.348 , 34.2325
0.3 , -33.0426 , -62.8307 , 0
0.3 , 37.2365 , -113.348 , 34.2325
0.31 , -31.7598 , -62.8307 , 0
0.31 , 37.2365 , -113.348 , 34.2325
0.32 , -30.3821 , -62.8307 , 0
0.32 , 37.2365 , -113.348 , 34.2325
0.33 , -29.5506 , -62.8545 , 0
0.33 , 37.2365 , -113.348 , 34.2325
0.34 , -28.9093 , -62.8545 , 0
0.34 , 37.2365 , -113.348 , 34.2325
0.35 , -27.9353 , -62.8307 , 0
0.35 , 37.2365 , -113.348 , 34.2325
0.36 , -26.5576 , -62.8307 , 0
0.36 , 37.2365 , -113.348 , 34.2325
0.37 , -24.8235 , -62.8545 , 0
0.37 , 37.2365 , -113.348 , 34.2325
0.38 , -23.5645 , -62.8545 , 0
