0, -nan, -nan, -nan, -nan
0.025, 1, 1, -1.0246, 0.0248015
0.05, 1, 1, -1.0246, 0.0248015
0.075, 1, 1, -0.922546, -0.000921701
0.1, 1, 1, -0.922546, -0.000921701
0.125, 1, 1, -0.735661, -0.00413292
0.15, 1, 1, -0.735661, -0.00413292
0.175, 1, 1, -0.735661, -0.00413292
0.2, 1, 1, -0.735661, -0.00413292
0.225, 1, 1, -0.735661, -0.00413292
0.25, 1, 1, -1.05537, 0.00132245
0.275, 1, 1, -1.05537, 0.00132245
0.3, 1, 1, -1.05193, 0.00124957
0.325, 1, 1, -1.05193, 0.00124957
0.35, 1, 1, -1.05407, 0.00116126
0.375, 1, 1, -1.06631, 0.00109558
0.4, 1, 1, -1.08683, 0.0010708
0.425, 1, 1, -1.08683, 0.0010708
0.45, 1, 1, -1.08069, 0.00106092
0.475, 1, 1, -1.07764, 0.00106245
0.5, 1, 1, -1.07764, 0.00106245
0.525, 1, 1, -1.09504, 0.00112038
0.55, 1, 1, -1.09905, 0.00111699
0.575, 1, 1, -1.09905, 0.00111699
0.6, 1, 1, -1.07927, 0.000977942
0.625, 1, 1, -1.06639, 0.00106858
0.65, 1, 1, -1.06639, 0.00106858
0.675, 1, 1, -1.04906, 0.000936429
0.7, 1, 1, -1.03725, 0.00116168
0.725, 1, 1, -1.03725, 0.00116168
0.75, 1, 1, -1.03725, 0.00116168
0.775, 1, 1, -1.03203, 0.000995786
0.8, 1, 1, -1.03203, 0.000995786
0.825, 1, 1, -1.03167, 0.000997231
0.85, 1, 1, -1.03004, 0.00110927
0.875, 1, 1, -1.02779, 0.00125884
0.9, 1, 1, -1.02779, 0.00125884
0.925, 1, 1, -1.02779, 0.00125884
0.95, 1, 1, -1.02779, 0.00125884
0.975, 1, 1, -1.02779, 0.00125884
1, 1, 1, -1.02171, 4.71809e-05
1.025, 1, 1, -1.02061, 0.000389096
1.05, 1, 1, -1.0196, 0.000669094
1.075, 1, 1, -1.0187, 0.000911329
1.1, 1, 1, -1.01786, 0.00113034
1.125, 1, 1, -1.01705, 0.0013295
1.15, 1, 1, -1.01705, 0.0013295
1.175, 1, 1, -1.01705, 0.0013295
1.2, 1, 1, -1.01705, 0.0013295
1.225, 1, 1, -1.01705, 0.0013295
1.25, 1, 1, -1.01705, 0.0013295
1.275, 1, 1, -1.01705, 0.0013295
1.3, 1, 1, -1.01705, 0.0013295
1.325, 1, 1, -1.01705, 0.0013295
1.35, 1, 1, -1.01705, 0.0013295
1.375, 1, 1, -1.0105, -0.0024419
1.4, 1, 1, -1.01025, -0.00155718
1.425, 1, 1, -1.01025, -0.00155718
1.45, 1, 1, -1.01025, -0.00155718
1.475, 1, 1, -1.00951, -0.00113292
1.5, 1, 1, -1.00951, -0.00113292
1.525, 1, 1, -1.00951, -0.00113292
1.55, 1, 1, -1.00951, -0.00113292
1.575, 1, 1, -1.00951, -0.00113292
1.6, 1, 1, -1.00951, -0.00113292
1.625, 1, 1, -1.0082, -0.000760789
1.65, 1, 1, -1.0082, -0.000760789
1.675, 1, 1, -1.0082, -0.000760789
1.7, 1, 1, -1.0082, -0.000760789
1.725, 1, 1, -1.0082, -0.000760789
1.75, 1, 1, -1.0082, -0.000760789
1.775, 1, 1, -1.00576, 0.000104189
1.8, 1, 1, -1.00576, 0.000104189
1.825, 1, 1, -1.00576, 0.000104189
1.85, 1, 1, -1.00764, 0.00483417
1.875, 1, 1, -1.00846, 0.00697261
1.9, 1, 1, -1.00867, 0.00753229
1.925, 1, 1, -1.00867, 0.00753229
1.95, 1, 1, -1.00867, 0.00753229
1.975, 1, 1, -1.00867, 0.00753229
2, 1, 1, -1.00867, 0.00753229
2.025, 1, 1, -1.00868, 0.00801684
2.05, 1, 1, -1.00897, 0.00876476
2.075, 1, 1, -1.00897, 0.00876476
2.1, 1, 1, -1.00897, 0.00876476
2.125, 1, 1, -1.00897, 0.00876476
2.15, 1, 1, -1.00897, 0.00876476
2.175, 1, 1, -1.00982, 0.010096
2.2, 1, 1, -1.00982, 0.010096
2.225, 1, 1, -1.01031, 0.0110437
2.25, 1, 1, -1.01031, 0.0110437
2.275, 1, 1, -1.01031, 0.0110437
2.3, 1, 1, -1.01029, 0.0110015
2.325, 1, 1, -1.01029, 0.0110015
2.35, 1, 1, -1.01029, 0.0110015
2.375, 1, 1, -1.01033, 0.0111784
2.4, 1, 1, -1.01033, 0.0111784
2.425, 1, 1, -1.01033, 0.0111784
2.45, 1, 1, -1.01033, 0.0111784
2.475, 1, 1, -1.01033, 0.0111784
2.5, 1, 1, -1.01033, 0.0111784
2.525, 1, 1, -1.01033, 0.0111784
2.55, 1, 1, -1.01001, 0.0110751
2.575, 1, 1, -1.01001, 0.0110751
2.6, 1, 1, -1.01001, 0.0110751
2.625, 1, 1, -1.01001, 0.0110751
2.65, 1, 1, -1.01001, 0.0110751
2.675, 1, 1, -1.01071, 0.0121666
2.7, 1, 1, -1.01132, 0.0129778
2.725, 1, 1, -1.01142, 0.0131105
2.75, 1, 1, -1.01142, 0.0131105
2.775, 1, 1, -1.01143, 0.0131499
2.8, 1, 1, -1.01143, 0.0131499
2.825, 1, 1, -1.01143, 0.0131499
2.85, 1, 1, -1.01143, 0.0131499
2.875, 1, 1, -1.01143, 0.0131499
