l1 0.093501, l2 0.119783, l3 0.0940253
0 , 0.118773 , -0.0237545 , -0.0712636
0 , 37.2365 , -113.348 , 34.2325
0.01 , 0.0950181 , -0.0237545 , -0.213791
0.01 , 37.2365 , -113.348 , 34.2325
0.02 , 0.118773 , 0.0475091 , -0.641372
0.02 , 37.2365 , -113.348 , 34.2325
0.03 , 0.0950181 , -0.0237545 , -0.831409
0.03 , 37.2365 , -113.348 , 34.2325
0.04 , 0.118773 , 0 , -0.688882
0.04 , 37.2365 , -113.348 , 34.2325
0.05 , 0.0950181 , -0.0475091 , 0.0712636
0.05 , 37.2365 , -113.348 , 34.2325
0.06 , 0.0950181 , -0.0712636 , 0.308809
0.06 , 37.2365 , -113.348 , 34.2325
0.07 , 0.118773 , -0.213791 , 0.0712636
0.07 , 37.2365 , -113.348 , 34.2325
0.08 , 0.0950181 , -0.213791 , 0.546354
0.08 , 37.2365 , -113.348 , 34.2325
0.09 , 0.0950181 , -0.213791 , 0.570109
0.09 , 37.2365 , -113.348 , 34.2325
0.1 , 0.0950181 , -0.213791 , 0.665127
0.1 , 37.2365 , -113.348 , 34.2325
0.11 , 0.118773 , -0.237545 , 0.831409
0.11 , 37.2365 , -113.348 , 34.2325
0.12 , 0.118773 , -0.166282 , 1.02145
0.12 , 37.2365 , -113.348 , 34.2325
0.13 , 0.0950181 , -0.190036 , 1.02145
0.13 , 37.2365 , -113.348 , 34.2325
0.14 , 0.213791 , -0.2613 , 1.28274
0.14 , 37.2365 , -113.348 , 34.2325
0.15 , 0.760145 , -0.285054 , 2.16166
0.15 , 37.2365 , -113.348 , 34.2325
0.16 , 1.40152 , -0.285054 , 2.16166
0.16 , 37.2365 , -113.348 , 34.2325
0.17 , 1.80534 , -0.356318 , 2.23293
0.17 , 37.2365 , -113.348 , 34.2325
0.18 , 2.25668 , -0.498845 , 2.39921
0.18 , 37.2365 , -113.348 , 34.2325
0.19 , 2.44672 , -0.712636 , 2.8743
0.19 , 37.2365 , -113.348 , 34.2325
0.2 , 2.47047 , -0.7839 , 3.44441
