l1 0.093501, l2 0.119783, l3 0.0940253
0 , -61.8093 , -67.4391 , 60.9066
0 , 37.2365 , -113.348 , 34.2325
0.01 , -61.8331 , -67.4391 , 60.8829
0.01 , 37.2365 , -113.348 , 34.2325
0.02 , -61.9993 , -67.4154 , 60.9304
0.02 , 37.2365 , -113.348 , 34.2325
0.03 , -62.0944 , -67.4629 , 60.8591
0.03 , 37.2365 , -113.348 , 34.2325
0.04 , -62.0231 , -67.5104 , 60.8354
0.04 , 37.2365 , -113.348 , 34.2325
0.05 , -61.643 , -67.7717 , 60.8116
0.05 , 37.2365 , -113.348 , 34.2325
0.06 , -60.9304 , -68.0805 , 60.2177
0.06 , 37.2365 , -113.348 , 34.2325
0.07 , -59.8139 , -68.318 , 59.4101
0.07 , 37.2365 , -113.348 , 34.2325
0.08 , -59.7189 , -68.8644 , 58.5312
0.08 , 37.2365 , -113.348 , 34.2325
0.09 , -59.5051 , -70.1471 , 58.5074
0.09 , 37.2365 , -113.348 , 34.2325
0.1 , -58.7212 , -70.4084 , 58.1986
0.1 , 37.2365 , -113.348 , 34.2325
0.11 , -58.0323 , -70.5035 , 57.6523
0.11 , 37.2365 , -113.348 , 34.2325
0.12 , -57.6523 , -70.7648 , 57.5572
0.12 , 37.2365 , -113.348 , 34.2325
0.13 , -57.581 , -71.81 , 57.581
0.13 , 37.2365 , -113.348 , 34.2325
0.14 , -57.5572 , -72.3088 , 57.486
0.14 , 37.2365 , -113.348 , 34.2325
0.15 , -57.1534 , -72.4988 , 56.9396
0.15 , 37.2365 , -113.348 , 34.2325
0.16 , -56.227 , -73.164 , 56.322
0.16 , 37.2365 , -113.348 , 34.2325
0.17 , -56.1557 , -74.0904 , 56.0607
0.17 , 37.2365 , -113.348 , 34.2325
0.18 , -55.7519 , -75.6107 , 55.6806
0.18 , 37.2365 , -113.348 , 34.2325
0.19 , -54.8017 , -75.9195 , 55.3481
0.19 , 37.2365 , -113.348 , 34.2325
0.2 , -54.778 , -76.4421 , 54.0891
0.2 , 37.2365 , -113.348 , 34.2325
0.21 , -54.3504 , -78.1762 , 53.7803
0.21 , 37.2365 , -113.348 , 34.2325
0.22 , -52.9014 , -78.2474 , 53.7565
0.22 , 37.2365 , -113.348 , 34.2325
0.23 , -51.6424 , -78.6513 , 53.614
0.23 , 37.2365 , -113.348 , 34.2325
0.24 , -51.191 , -79.8628 , 52.9014
0.24 , 37.2365 , -113.348 , 34.2325
0.25 , -50.6209 , -80.0765 , 52.545
0.25 , 37.2365 , -113.348 , 34.2325
0.26 , -50.0508 , -80.3854 , 52.4975
0.26 , 37.2365 , -113.348 , 34.2325
0.27 , -47.7704 , -81.5256 , 52.4025
0.27 , 37.2365 , -113.348 , 34.2325
0.28 , -46.7964 , -81.5256 , 51.8562
0.28 , 37.2365 , -113.348 , 34.2325
0.29 , -46.7727 , -81.7394 , 51.7611
0.29 , 37.2365 , -113.348 , 34.2325
0.3 , -46.7252 , -81.9532 , 51.5473
0.3 , 37.2365 , -113.348 , 34.2325
0.31 , -45.6325 , -82.1432 , 50.906
0.31 , 37.2365 , -113.348 , 34.2325
0.32 , -43.257 , -82.7846 , 49.9558
0.32 , 37.2365 , -113.348 , 34.2325
0.33 , -42.9957 , -83.6397 , 49.6707
0.33 , 37.2365 , -113.348 , 34.2325
0.34 , -43.0195 , -83.8773 , 48.2217
0.34 , 37.2365 , -113.348 , 34.2325
0.35 , -42.972 , -84.5424 , 47.0815
